audio	sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue
220814-153226_loz_006_elicit_43.wav	ye butali ka kufitisisa ki kuhu ye nsu kapa ye sweu 	16	4492	Female	loz
221024-173803_loz_334_elicit_36.wav	ku bonahala kuli yo yo muhulu u na ni lilimo ze twelve yo munyinyani u lukela ku ba ni ze nine ticele akaleza 	16	15404	Male	loz
221209-161751_loz_9dd_elicit_6.wav	lu eziswa cwalo ki kuli lu mi lata hahulu 	16	2677	Male	loz
221211-211623_loz_5d8_elicit_47.wav	kwa swabisa ku oyotokisa mamina 	16	2881	Male	loz
220813-165251_loz_969_elicit_22.wav	mi peba ha i to shongolola kwa mulatu wa yona tou ya i bulelela kuli i te i tahe zazi li sili 	16	9869	Female	loz
220821-215724_loz_006_elicit_3.wav	a man o ziba kuli ki wa mulena mutondo a buza kwa ndu ya kapaso yo muhulu 	16	8349	Female	loz
220815-233437_loz_969_elicit_16.wav	the bwana is not here 	16	2609	Female	loz
220924-175953_loz_969_elicit_13.wav	mutu ya na li ten kaufela ni mapokola ba fumana kuli kamuyongole ki yena ya bulaile musal a hae 	16	7260	Female	loz
220926-012714_loz_0da_elicit_48.wav	a bonana ni mutumbi mi a kupa ku bona mabizo a ba ne ba kwezi mota la kandao ninety forty five 	16	15041	Male	loz
220813-165251_loz_969_elicit_43.wav	kono ne li si ka zibisa lifolofolo ze nwi 	16	6556	Female	loz
220814-153226_loz_006_elicit_39.wav	mi buinuneko bwa sona bwa felela ona foo 	16	3312	Female	loz
221209-130247_loz_9dd_elicit_60.wav	bo bunwi bu kona ku punyuha ni ku ipatela minzi ye minca 	16	3403	Male	loz
220925-013438_loz_0da_elicit_15.wav	kwande a hae fecla mi katekwe 	16	4310	Male	loz
221108-223008_loz_fcd_elicit_48.wav	ku seo a fumana mwa teni batu ba banata hahulu 	16	4787	Male	loz
220814-205913_loz_969_elicit_13.wav	hape ba lukisa kuli linolo li yo positelwa kwa taunu i sili 	16	5445	Female	loz
220815-193400_loz_969_elicit_29.wav	ha ba kopana katekwe a fa kamuyongole mulamu wa he wa n a libezi kwa tuko a simu ya bo ndate mboma zazi la ba zwa kwa sipelu 	16	12795	Female	loz
221024-175856_loz_334_elicit_6.wav	kanti bo ma ba ni ziba kayama a ipulelela mwa pilu 	16	7623	Male	loz
220821-184128_loz_006_elicit_45.wav	ziki cwale yena mutumbi na kwezi zazi la kwela nongolo 	16	3743	Female	loz
220924-175953_loz_969_elicit_32.wav	ha zwa foo a yo yema feela fa mukwakwa kuli a kupe feela ku longwa ki limota kakuli na ikutwa hahulu 	16	10527	Female	loz
221206-194517_loz_9dd_elicit_25.wav	ha ni na ku mi bulaya kono ni ta mi luta tuto ye mu sike mwa libala 	16	5036	Male	loz
220928-033456_loz_0da_elicit_10.wav	musizana yo munwi ya na tabela hahulu kamuyongole ki katekwe 	16	7781	Male	loz
220821-215724_loz_006_elicit_23.wav	ba mu latakela mabaka a na likani ni bukebenga bwa hae kono kamuyongole a tiisa kuli mu ni nataka feela ni mesinja 	16	12591	Female	loz
221109-113120_loz_fcd_elicit_24.wav	se ne si ta ni paleliswa ku ku zwisa mitolo fa mubili ki sifi se si tuna manolo e u boni na nozwi mwa mulaho ha se ni bona tiyeho 	16	18581	Male	loz
221206-180455_loz_9dd_elicit_13.wav	cwa nonu kulu ni kulu ya ba ni sikapana se sitaba 	16	4265	Male	loz
220928-033456_loz_0da_elicit_23.wav	ku zwa busihu boo kamuyongole a ekeza cinceho ye nwi mwa bupilo bwa hae 	16	8598	Male	loz
220821-184128_loz_006_elicit_41.wav	ziki ne li lona lizazi le i funduka mota nji sandala batili 	16	6329	Female	loz
220813-203957_loz_969_elicit_48.wav	a mano kena sikolo ka nineteen thirty six kamuyongole a kona ku fita mwa standard il ka nineteen forty one 	16	11525	Female	loz
221208-155824_loz_5d8_elicit_21.wav	tizebe ki ze tuna kono ha li utwi hande 	16	3902	Male	loz
220813-203957_loz_969_elicit_27.wav	ka zazi le linwi sipulu muki sa bona linyunywani za mafufa a mibala ye minata ye minde 	16	12410	Female	loz
220813-203957_loz_969_elicit_43.wav	bashemi ba hae ha pepwa ne ba itumba ka yena ba sa zibi kuli mikwa ya hae i ta ba ye komokisa sina sifateho sa hae sene ba buha nako ni nako 	16	14066	Female	loz
220925-013438_loz_0da_elicit_1.wav	kono hape a wa pilu ha hupula kuli naka ya n a tilo bina mazazinyana a fitile na ba supile kuli ki baloi mi a ikoliswa kuli ba sa saba 	16	19125	Male	loz
221209-093804_loz_9dd_elicit_6.wav	litopa ze za fiwa mabizo a manyanja macewa manse nga macipeta ni ba banwi 	16	6057	Male	loz
220815-233437_loz_969_elicit_43.wav	wa musali ni yena u palelwa cwani ku nola inge a ziba ku nola nongolo a batiwa kono ku sa zibwi kuli u kai 	16	8349	Female	loz
220924-122127_loz_969_elicit_37.wav	hanz a batisisa mwa wankie cwalo ziki a fumana teni munna ya bizwa ambulula 	16	7260	Female	loz
221211-220813_loz_5d8_elicit_11.wav	ali nita ku fa so ta kupa kaufela 	16	4287	Male	loz
220928-033456_loz_0da_elicit_5.wav	punga a lemuha takazo ya munyan a he mwa mikiti mi a mu eleza kuli a nyale ka ku ziba lika ze telanga ba ba tabela mikiti ya ba banca 	16	16834	Male	loz
221208-213754_loz_9dd_elicit_26.wav	mi ka nako ye mulena a li ku muoli 	16	2904	Male	loz
220814-171012_loz_006_elicit_19.wav	mupokola ha mu ya ka sitima mupokola ha talima fa nako a fumana kuli ku siezi feela mizuzu ye eight minutes 	16	10277	Female	loz
220924-184927_loz_969_elicit_15.wav	ha ba fita mwa lusaka ba nga nzila ya mumbwa ka limota 	16	4719	Female	loz
220821-215724_loz_006_elicit_1.wav	na sa zibi kuli munzi woo ki ufi mi ki wa mani 	16	5059	Female	loz
220815-193400_loz_969_elicit_32.wav	mulamu wa hae oo wa mu hupulisa fela milatu ya hae mwa tas a lizazi 	16	5308	Female	loz
221208-213754_loz_9dd_elicit_56.wav	musonda a kala ku ca hande mane ba be ba feza cwalo 	16	4174	Male	loz
220821-184128_loz_006_elicit_46.wav	sandala ha ni zibi hande kono inge ne ni ba boni inge ba kena mwa mota kono ha ni zibi kapa ne ba ile kapa ne ba siezi 	16	8825	Female	loz
221211-215128_loz_5d8_elicit_32.wav	ali ni sa lika ku eza mo ne ni bulelezwi 	16	3879	Male	loz
