audio	sentence
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_43.wav	ye butali ka kufitisisa ki kuhu ye nsu kapa ye sweu 
/scratch/skscla001/speech/data/lozgen/audio/221024-173803_loz_334_elicit_36.wav	ku bonahala kuli yo yo muhulu u na ni lilimo ze twelve yo munyinyani u lukela ku ba ni ze nine ticele akaleza 
/scratch/skscla001/speech/data/lozgen/audio/221209-161751_loz_9dd_elicit_6.wav	lu eziswa cwalo ki kuli lu mi lata hahulu 
/scratch/skscla001/speech/data/lozgen/audio/221211-211623_loz_5d8_elicit_47.wav	kwa swabisa ku oyotokisa mamina 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_22.wav	mi peba ha i to shongolola kwa mulatu wa yona tou ya i bulelela kuli i te i tahe zazi li sili 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_3.wav	a man o ziba kuli ki wa mulena mutondo a buza kwa ndu ya kapaso yo muhulu 
/scratch/skscla001/speech/data/lozgen/audio/220815-233437_loz_969_elicit_16.wav	the bwana is not here 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_13.wav	mutu ya na li ten kaufela ni mapokola ba fumana kuli kamuyongole ki yena ya bulaile musal a hae 
/scratch/skscla001/speech/data/lozgen/audio/220926-012714_loz_0da_elicit_48.wav	a bonana ni mutumbi mi a kupa ku bona mabizo a ba ne ba kwezi mota la kandao ninety forty five 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_43.wav	kono ne li si ka zibisa lifolofolo ze nwi 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_39.wav	mi buinuneko bwa sona bwa felela ona foo 
/scratch/skscla001/speech/data/lozgen/audio/221209-130247_loz_9dd_elicit_60.wav	bo bunwi bu kona ku punyuha ni ku ipatela minzi ye minca 
/scratch/skscla001/speech/data/lozgen/audio/220925-013438_loz_0da_elicit_15.wav	kwande a hae fecla mi katekwe 
/scratch/skscla001/speech/data/lozgen/audio/221108-223008_loz_fcd_elicit_48.wav	ku seo a fumana mwa teni batu ba banata hahulu 
/scratch/skscla001/speech/data/lozgen/audio/220814-205913_loz_969_elicit_13.wav	hape ba lukisa kuli linolo li yo positelwa kwa taunu i sili 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_29.wav	ha ba kopana katekwe a fa kamuyongole mulamu wa he wa n a libezi kwa tuko a simu ya bo ndate mboma zazi la ba zwa kwa sipelu 
/scratch/skscla001/speech/data/lozgen/audio/221024-175856_loz_334_elicit_6.wav	kanti bo ma ba ni ziba kayama a ipulelela mwa pilu 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_45.wav	ziki cwale yena mutumbi na kwezi zazi la kwela nongolo 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_32.wav	ha zwa foo a yo yema feela fa mukwakwa kuli a kupe feela ku longwa ki limota kakuli na ikutwa hahulu 
/scratch/skscla001/speech/data/lozgen/audio/221206-194517_loz_9dd_elicit_25.wav	ha ni na ku mi bulaya kono ni ta mi luta tuto ye mu sike mwa libala 
/scratch/skscla001/speech/data/lozgen/audio/220928-033456_loz_0da_elicit_10.wav	musizana yo munwi ya na tabela hahulu kamuyongole ki katekwe 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_23.wav	ba mu latakela mabaka a na likani ni bukebenga bwa hae kono kamuyongole a tiisa kuli mu ni nataka feela ni mesinja 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_24.wav	se ne si ta ni paleliswa ku ku zwisa mitolo fa mubili ki sifi se si tuna manolo e u boni na nozwi mwa mulaho ha se ni bona tiyeho 
/scratch/skscla001/speech/data/lozgen/audio/221206-180455_loz_9dd_elicit_13.wav	cwa nonu kulu ni kulu ya ba ni sikapana se sitaba 
/scratch/skscla001/speech/data/lozgen/audio/220928-033456_loz_0da_elicit_23.wav	ku zwa busihu boo kamuyongole a ekeza cinceho ye nwi mwa bupilo bwa hae 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_41.wav	ziki ne li lona lizazi le i funduka mota nji sandala batili 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_48.wav	a mano kena sikolo ka nineteen thirty six kamuyongole a kona ku fita mwa standard il ka nineteen forty one 
/scratch/skscla001/speech/data/lozgen/audio/221208-155824_loz_5d8_elicit_21.wav	tizebe ki ze tuna kono ha li utwi hande 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_27.wav	ka zazi le linwi sipulu muki sa bona linyunywani za mafufa a mibala ye minata ye minde 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_43.wav	bashemi ba hae ha pepwa ne ba itumba ka yena ba sa zibi kuli mikwa ya hae i ta ba ye komokisa sina sifateho sa hae sene ba buha nako ni nako 
