audio	sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue
220813-203957_loz_969_elicit_10.wav	mi ba zamaya hamoho mwa mutapi u limunwi 	16	6851	Female	loz
220821-215724_loz_006_elicit_22.wav	ba man o nga tipa ku yena ka kozo ba mu tulelela mi a si ka ziba kuli ba bata ku ezani ba mu tama ka mawenge a hae 	16	10005	Female	loz
221109-113120_loz_fcd_elicit_1.wav	a bonisa ku lobeha pilu bakeni sa lifu la ndatahe 	16	7396	Male	loz
220814-223030_loz_969_elicit_40.wav	nongolo ni yena a nwa ka tata kamuyongole yena a nze a lapela feela kuli a kolwe kapili 	16	7759	Female	loz
220814-171012_loz_006_elicit_44.wav	nongolo a ba ni nako ya ku taluseza njolo ze ezahezi pili sitima si si ka funduka 	16	9528	Female	loz
220815-192827_loz_006_elicit_43.wav	kakuli na ta lumela kuli nongolo u itangetile u ta fumana kuli ni yangile muhulwan a hae kapa ni bata ku eza cwalo 	16	11547	Female	loz
220813-165251_loz_969_elicit_1.wav	mulen a zona ha fita a tonda nama mi a li buza a halifileali 	16	7940	Female	loz
220928-035559_loz_0da_elicit_42.wav	musal a hae ni yena a zuha a pamula muhuma wa hae ni lilumo la munn a hae le ne li siezi mi a yo iwana ni yena 	16	14837	Male	loz
220821-184128_loz_006_elicit_10.wav	sandala a taluseza ziki kuli libizo la mulamwac ki njolo 	16	5082	Female	loz
220925-013438_loz_0da_elicit_22.wav	muhulwan a mutu a taba kakuli ku yena n a ize u bata ku yo belekela tutino twa fa limyalo 	16	13657	Male	loz
220814-153226_loz_006_elicit_40.wav	kale sifi ne si ngiwa ki lifolofolo ni linyunywani ze nwi kuli ne si na ni butali hahulu 	16	11207	Female	loz
221210-232945_loz_9dd_elicit_29.wav	ki hona u beleke u iwalelange likota u nze u lekisa mwa dwala 	16	4900	Male	loz
221211-190410_loz_5d8_elicit_45.wav	kukw a bona 	16	1315	Male	loz
220821-215724_loz_006_elicit_19.wav	na kupa cwalo kuli haiba sikebenga se si na ni silemano si si zuse fa mubili pili ba si ka si tundanisa 	16	13589	Female	loz
220924-175953_loz_969_elicit_5.wav	ne kuli bunolo ku bona se si ezahezi 	16	3630	Female	loz
221211-163600_loz_9dd_elicit_51.wav	lu ziba mukwa o ba bupa ka ona ki ka mazoho ni ku fala ka keta ni ku besa la masu 	16	7759	Male	loz
220926-014931_loz_0da_elicit_47.wav	a fumana musebezi ku mukuwa ya inzi fa kaufi ni chalimbana ya bizwa luckins 	16	9755	Male	loz
221209-130247_loz_9dd_elicit_60.wav	bo bunwi bu kona ku punyuha ni ku ipatela minzi ye minca 	16	3403	Male	loz
221211-220813_loz_5d8_elicit_13.wav	ba vo fumana masholi kwa livate 	16	2586	Male	loz
220814-171012_loz_006_elicit_41.wav	ha na mata ka baka la ku ikalelwa hape ni sitima sa libiana se ne si huwa ni ku zamaya kwa buse bwa melo na li u siezi 	16	11366	Female	loz
221109-113120_loz_fcd_elicit_20.wav	linolo le ni boni ki la mina le li nozwi sunda ye felile 	16	6443	Male	loz
220815-233437_loz_969_elicit_26.wav	bupilo bwa zamaya hande mwa lusaka 	16	2994	Female	loz
220821-215724_loz_006_elicit_24.wav	ba mu fafaza ka mabaka ba nze ba li ki wena kamuyongole u tobile iwa ku ziba 	16	6261	Female	loz
221212-211610_loz_9dd_elicit_63.wav	ki hona ba li kutiseza hape mwa mulilo kuli mubaso u swale hande 	16	4265	Male	loz
220814-223030_loz_969_elicit_7.wav	punga yo ili muhulwan aka ni ndate ha sa ni sepa ka baka la ku tokwa likute ku musal a hae namutesuko 	16	9324	Female	loz
221211-115749_loz_9dd_elicit_73.wav	mbondwanyunyi litulolwa ni siyekile nalungwana ni nalutota 	16	6284	Male	loz
220815-192827_loz_006_elicit_38.wav	kamuyongole a li ha ni utwire mu bulela 	16	4083	Female	loz
221206-194517_loz_9dd_elicit_6.wav	linau la li ha ku makazi u sibupiwa se si situhu se si sabwa ki lifolofolo kaufela 	16	7328	Male	loz
220813-203957_loz_969_elicit_20.wav	kapili ya ba ni litombo mi ya nyema hahulu kakuli miteni yeo ne i na ni litalo le linde le li bunolo nolo 	16	13022	Female	loz
220926-014931_loz_0da_elicit_30.wav	ha liba kwandu ku yo nga situpa nongolo a telwa ki muhupulo wa ku itoboha kakuli na ziba kuli u ta swalwa fa ka maibela kaufela 	16	17061	Male	loz
