audio	sentence
/scratch/skscla001/speech/data/lozgen/audio/220928-033456_loz_0da_elicit_42.wav	a eleza fela namutesuko ni kamuyongole ka ze maswe ze ba ezize 
/scratch/skscla001/speech/data/lozgen/audio/221209-130247_loz_9dd_elicit_53.wav	kamuso u ka bona mafufa a butwa a hasani naha kaufela 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_10.wav	a man o utwa za bulezi kulobone sipai a yo bulelela mapokola 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_24.wav	luli ba habo nongolo a ba koni ku timelelwa njolo mi ba sa mu bona feela ba ta tokwa ku bona ni nongolo 
/scratch/skscla001/speech/data/lozgen/audio/221024-173803_loz_334_elicit_36.wav	ku bonahala kuli yo yo muhulu u na ni lilimo ze twelve yo munyinyani u lukela ku ba ni ze nine ticele akaleza 
/scratch/skscla001/speech/data/lozgen/audio/220925-013438_loz_0da_elicit_33.wav	katekwe ni yena a ziba kuli jesika u sindeketile kamuyongole 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_17.wav	ziki hape a fumana linolo la na kile a nola nongolo kwa wankie ku bihela bashemi ba hae za buizamaeli bwa 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_11.wav	mi ni yona nja i itamile ku lelekisa luwawa ni ku lu bulaya ha i lu swala 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_15.wav	ku tahile cwana ka nako ye nwi tou ne i na ni limbongola le ne li pala ku fola kwa liutu 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_23.wav	na alaba na li ki bahulwani ba ka 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_44.wav	nako ha i se i sutelezi nongolo na sa nwile hahulu kuli mane na sa hupuli ni za ku funduka 
/scratch/skscla001/speech/data/lozgen/audio/221211-205339_loz_5d8_elicit_53.wav	a fa mulia mukolo o sa bonwa ni kacenu fa maalo a mutondo ni namengo 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_5.wav	mi ni bata kuli muni zibise sene si ezahezi kwa batu ba mina 
/scratch/skscla001/speech/data/lozgen/audio/221211-115749_loz_9dd_elicit_73.wav	mbondwanyunyi litulolwa ni siyekile nalungwana ni nalutota 
/scratch/skscla001/speech/data/lozgen/audio/221211-213339_loz_5d8_elicit_16.wav	lu swanezi ku tusa maswafu ku a fa moya o munde mo lu ka konela 
/scratch/skscla001/speech/data/lozgen/audio/220815-233437_loz_969_elicit_34.wav	bo sipato bo ndatahe nongolo ba clezwa ki mulikan a nongolo mwan a bona ya na sa utwile kuli ha ku zibwi kapa 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_45.wav	ziki hape a nwaya tulelu twa hae ka ku bona liseli le linwi 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_45.wav	kamuyongole a atulelwa lifu ka ku bulaya batu ba babeli 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_42.wav	mwa na bulaezi njolo mwa tobezi kwa kitwe kaufela ku sina sa na patile 
/scratch/skscla001/speech/data/lozgen/audio/220924-133420_loz_969_elicit_46.wav	ne se li sikebenga sa niti se si kona ku iwana nako kaufela kapa ku bulaya mutu 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_37.wav	zeo mwan a ka na ha ni koni ku li paka hande 
/scratch/skscla001/speech/data/lozgen/audio/221211-205339_loz_5d8_elicit_7.wav	ki hona balui ba lingu ha ba beyanga puli mwa mulaka wa zona kuli i li etelele 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_21.wav	musefo wa zwela pili kono kamuyongole ni yena a i pelekela hande ku luckins 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_6.wav	pili a si ka funduka kale a zibisa mulatiwa wa hae yo munwi ya na sa zibwi ki ba banata 
/scratch/skscla001/speech/data/lozgen/audio/221208-213754_loz_9dd_elicit_36.wav	h a hupula z a n a canga a itiulula a ota maswe mane a be a shwa 
/scratch/skscla001/speech/data/lozgen/audio/220926-021027_loz_0da_elicit_47.wav	batu ba sa kubukani kwa mota ya hae ku bata miloho kamuyongole a i bumisa kono ili ka sabo mi na matisa hahulu 
/scratch/skscla001/speech/data/lozgen/audio/221209-093804_loz_9dd_elicit_10.wav	makatanga ni bona ne ba pila cwalo ka bunwi inge makafula 
/scratch/skscla001/speech/data/lozgen/audio/221210-232945_loz_9dd_elicit_56.wav	kuli mane ne ku si na mushobo o no ka ba yamatala 
