audio	sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue
221211-182109_loz_5d8_elicit_25.wav	bashimani ni basizana ba ba buzwa ba itute ku zona 	16	4582	Male	loz
220925-224646_loz_0da_elicit_49.wav	bashemi ba hae luli nongolo ili kwa sefula ne ba se ba mu holezi halalu ba sa boni kalabo 	16	11184	Male	loz
221211-115749_loz_9dd_elicit_11.wav	kono u bapalanga hahulu mwa nzila hanata u fitanga musihali luli 	16	4719	Male	loz
221211-182109_loz_5d8_elicit_24.wav	limura li sebeza ka tata 	16	2495	Male	loz
221109-113120_loz_fcd_elicit_31.wav	ko se ni mi konka inge muhalizo 	16	4061	Male	loz
220925-001458_loz_0da_elicit_29.wav	bo mesinja ba babeli ba mu isa kwa nkambe 	16	6193	Male	loz
220928-033456_loz_0da_elicit_0.wav	luli sizana me i lukela ku mu tabela kakuli na buheha 	16	8326	Male	loz
221210-211146_loz_9dd_elicit_9.wav	ba lu lata kakuli jesu n a ize mu late batu kaufela mi hape mu tuse ni bao i si ba ndu ya mina 	16	7282	Male	loz
221206-180455_loz_9dd_elicit_28.wav	munna yoo ki ha se a kwaula nja mi a i nata habutuku 	16	5082	Male	loz
221211-115749_loz_9dd_elicit_75.wav	bo silubasi ni katengunyanga muoleole ni kambimbi ba ca hape linzie ni minani ze tiseza batu fibele 	16	8916	Male	loz
221209-161751_loz_9dd_elicit_40.wav	ni bana ba u sili ha ba swani ni bana ba hao 	16	3448	Male	loz
221211-115749_loz_9dd_elicit_28.wav	sifateho sa kona ki se sinde 	16	2359	Male	loz
221108-225040_loz_fcd_elicit_30.wav	batili ki wa kwa hae 	16	2155	Male	loz
221206-194517_loz_9dd_elicit_10.wav	linau la li ha ku na se ni lata kwande a ku ba ni mibala bala 	16	3834	Male	loz
221211-182109_loz_5d8_elicit_3.wav	ha ni timbula a ni bona mi a li mu bone simbotwe se 	16	5104	Male	loz
221211-190410_loz_5d8_elicit_11.wav	a fumana piza i shwile mi a bona mutala wa mwan a tau 	16	4673	Male	loz
221211-182109_loz_5d8_elicit_32.wav	lico ze kubukanyizwe matabula li li tusa ka nako ya maliha 	16	5240	Male	loz
221024-171240_loz_334_elicit_41.wav	pulelo ya hae kamita n e li ye 	16	3902	Male	loz
221109-113120_loz_fcd_elicit_43.wav	ha sa felize a kwela ku kutela kwa bukuwa 	16	4424	Male	loz
