audio	sentence
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_45.wav	ziki hape a nwaya tulelu twa hae ka ku bona liseli le linwi 
/scratch/skscla001/speech/data/lozgen/audio/220924-133420_loz_969_elicit_27.wav	i sali yena luckins a nga mota ku isa miloho kwa tauni ku yo i lekisa 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_42.wav	nongolo a hupula kuli kuli a tise situpa sa mutalahali nongolo ni yena u ta ba mutalahali ku si ka fita nako 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_11.wav	mu mi litele mi sa yo biza musal a ka a to mi ezeza lico 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_43.wav	ye butali ka kufitisisa ki kuhu ye nsu kapa ye sweu 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_34.wav	mi ye nwi ni ye nwi i ipilela i nosi 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_15.wav	njolo ha utwa cwalo a lila kono ha kuna ya ma ziba kuli wa silisa konji kamuyongole 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_17.wav	mapokola ba fumana kuli mulatu wo ki o mutuna ku fita mo bonahalela 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_43.wav	kakuli na ta lumela kuli nongolo u itangetile u ta fumana kuli ni yangile muhulwan a hae kapa ni bata ku eza cwalo 
/scratch/skscla001/speech/data/lozgen/audio/220814-171012_loz_006_elicit_22.wav	mupokola ya na li teni a talusa se si ezahezi sejenti ka litohonolo na utwa ni ku bulla silozi ni haike ne li mubemba 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_39.wav	kamuyongole ya na sali ku ba a sa zamai singanya ni palisa a ikutwa inge ya fa lubona mi a libala kuli katekwe ki musal a mutu 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_13.wav	kwa mafelelezo kokonu ya li ni ta tusa haiba u lumela muhupulo wa ka 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_13.wav	nongolo na s a beile kwa tuko situpa sa nongolo kuli si ta mu swalisa a itusisa sa hae tota 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_36.wav	ki ha mutu a fa tutwa mulyani kaufela mi tutwa ha i nze i ca mulyani 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_6.wav	a mu bone malen a ka ki yo u sa tampakani mali kwa mulomo 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_3.wav	ha ba se ba fitile kwa musindi kamuyongole a talima kafa ni kafa mi ha kuna sa na boni konji feela bucwani likota ni musindi 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_36.wav	ni ziba hande luli kuli ni haiba mulimu ha koni ku ni fa mata a ku nyisa mboma 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_13.wav	ku bonahaza butoto kuli tou butuna bwa yona ni maata a yona i saba peba kono ki niti 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_6.wav	ba man o itaeza kamuyongole a liba kwa sikupi kono too ya hae inze i likana ni lianda kwa bukiti 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_34.wav	mupokola ha fita ku kamuyongole a li tioneni citupa canu bambo 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_49.wav	kamuyongole kwa ku funduka ni kona kwa ba ni butata bo bunwi kakuli ne ba libelelwa ku ya kwa sitima se si ya mwa buse isini sa kwa mutulo 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_29.wav	ku mu sepa ko ne ni mu sepile na mu fa likomu za ka kuli a tulisise 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_46.wav	kono ne kuli cwalo ndatahe manyando na tabela kuli mwan a hae a kene sikolo 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_5.wav	mi ni bata kuli muni zibise sene si ezahezi kwa batu ba mina 
/scratch/skscla001/speech/data/lozgen/audio/220814-171012_loz_006_elicit_0.wav	habusa sitima se si liba lusaka sa fita mi ba lapela kuli ba funduke ba si ka zibwa ko ba libile 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_9.wav	si petahale nongolo konji fa ta fumanhehela kona ni ta wa pilu 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_11.wav	mi ni yona nja i itamile ku lelekisa luwawa ni ku lu bulaya ha i lu swala 
/scratch/skscla001/speech/data/lozgen/audio/220924-133420_loz_969_elicit_21.wav	batu ba sa kubukani kwa mota ya hae ku bata miloho kamuyongole a i bumisa kono ili ka sabo mi na matisa hahulu 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_31.wav	kakuli moo ne ba si ka bata teni ba hi ku kala 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_3.wav	kono ha kuna ya na ziba libizo la hae kapa kwa na ile 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_16.wav	ku kamuyongole ha ba to ina yena na li ba til o mu lumelisa 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_32.wav	kuli ki yona ye ne bulelezi longolo kuli nama ya zona i munati 
/scratch/skscla001/speech/data/lozgen/audio/220814-205913_loz_969_elicit_20.wav	kono a tokwa ku bulela se sinwi kakuli fokunwi ne li kwa wankie ki yena ya na nolanga 
/scratch/skscla001/speech/data/lozgen/audio/220814-171012_loz_006_elicit_41.wav	ha na mata ka baka la ku ikalelwa hape ni sitima sa libiana se ne si huwa ni ku zamaya kwa buse bwa melo na li u siezi 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_33.wav	na inge ni ba kunkulika mwa mulaho 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_31.wav	ha mu teleze bo sinuku ku bulla luwawa ka sishemo 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_21.wav	busihu ha bu se bu kolile tapi ya i tukulula fo me zi i tamelezi mi ya wela mwa mezi 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_45.wav	fa nkambe yeo kamuyongole a fumana batu ba ba lekisa ndongo 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_47.wav	nihakulicwalo ne i pila inge i tabile mwa sikwata sa likulu ze nwi 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_3.wav	kapitao a pakisa ku yo biza batu pili a si ka lika ku kwalula sikwalo 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_12.wav	ziki u ziba cwani kuli munolo ki wa njolo isini wa nongolo 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_24.wav	yo ki yena ye ne ni utwile kuli beleka kwa libingi 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_7.wav	mwa tasi a nze a taluseza bo ndato njokwa sa swell mwa 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_37.wav	mutu ku uzwa situnula sa nama ye munati ya na bulukile mwa ndu ya hae 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_45.wav	ha ba yo laezana likuhu za bubeli ne li se li lilile 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_36.wav	bo punga ni kamuyongole ku zwa ka nineteen forty five ne ba sa nolelani kakuli munyan a mutu a li ku ya kwa bukuwa a sa holeli muhulwan a hae 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_42.wav	ha ba si ka yo wiseza hande ni linzwi la bona mi bo ndate njekwa ba kalumuka bali 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_4.wav	batu ha ba fitile ba loba sikulukulu mi sikwalo ha si li pwanku lipilu za bona za tabwa ki sabule ye ne sa inzi mwa mulala wa njolo 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_0.wav	ka zazi le linwi namutesuko a kupa ku yo bona bashemi ba hae mi a kupa ku sindeketwa ki kamuyongole 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_40.wav	zazi lei atulwa taba ya kamuyongole ndu ye atulelwanga milatu ya ku bulaya batu ya tala batu ba ne ba til o utwa katulo ya hae mulena wa mikiti ya na ile liiko 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_14.wav	sa na hupula ziki ki kuli kanti ko ne ba il o nwa ku fumanehe bani ba bucwala ba buziwe 
/scratch/skscla001/speech/data/lozgen/audio/220814-205913_loz_969_elicit_6.wav	njolo a ni latelela kwanu ba to zibana ni musal a mulamwae 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_44.wav	kamuyongole manyando 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_12.wav	ha felize zeo a ya kwa mota kono sabo ni lizwalo za mu swala ka tata kuli ni tutoho twa na nwile twa ku puma puma twa fela 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_23.wav	na alaba na li ki bahulwani ba ka 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_25.wav	kono nihakulicwalo tapi i tabile kakuli ha i koni ku fapanya libupiwa ze nwi ze pila mwa mezi 
/scratch/skscla001/speech/data/lozgen/audio/220815-233437_loz_969_elicit_39.wav	ye ne li nto ye talusa kuli luli nongolo na si ka yo fita 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_2.wav	nongolo na kozwi luli kuli kamuyongole na na ni ku mu zamaya mwa mulaho kuli a mu soteze ni ku mu sebeza hande 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_5.wav	a fumana kuli luli ku yena ku felile se li mutang a lilato la hac 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_40.wav	sitai latelele muhaons lubasi 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_13.wav	na s a kona ku nwa ni ku bina busihu kaufela a sa fi nobyo sico sa yona 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_40.wav	sandala ne ba omanile ni bo mutumbi ba ba lekisanga matikiti ni ku bala ba ba ya mwa mota 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_22.wav	luli na buheha 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_45.wav	ha na ku alabiwa mi kulobone u ta fumana kuli munyan a hac u mu pumile ha ize ni munyan a nongolo 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_30.wav	ha kena mwa simbuzi na tamilwe kono na uzwize kid ya mesinja ya na libelela mapantiti musihali ha na tubuzi lukanda lwa he fa na tamile mawenge 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_25.wav	haiba ze li ta petahala lu ta siala fa siteshini ha lu na ku kutela kwa somili kuli se si ya kwa lusaka ha si fita lu kwele kulobone a siyo 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_35.wav	ku zwa foo mboma pili a si ka ya kwa jubeke u wile mikangabisi ya simanga wa mikusi ye sa konwi fa silalanda sa luna 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_39.wav	mi buinuneko bwa sona bwa felela ona foo 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_44.wav	tala i kona ku tisa busholi 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_49.wav	ziki na na mi mabizo a ba ne ba longilwe mwa mota yo kaufela mwa libingi kamuyongole na ile nzila i linwi ni njolo 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_41.wav	mu yo lumelisa bo ngete 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_48.wav	kono ha i bona muluti wa yona mwa mezi ya hupula kuli ki shakame ye nwi ya shimbulukela ku sili 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_12.wav	mulen a mikiti a funduka a inzi mwa mawenge 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_9.wav	kwa kitwe a fiwa mupokola ya ta mu sindeketa ku yo fita fa mankoya 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_20.wav	mi kapilipili ya kala ku alafa sitombo seo 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_5.wav	zazi le linwi ba kopana mwa ndu mo ne ku nwelwa mutoho 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_21.wav	kono ili ku mu zibisa kuli bumaswe bwa hac bu tilo fita mwa lizebe za hae 
/scratch/skscla001/speech/data/lozgen/audio/220815-233437_loz_969_elicit_18.wav	do you understand nongolo yes sir 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_16.wav	mwa nzila kaufela kamuyongole na mamelwa ka tata kuli a sike a toba 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_11.wav	cale ki bao bo sandala ba kena mwa lipuzo ze zwa ku ziki 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_25.wav	ku jesika ne li se li shengunuka ni haike na sa zibi kuli haiba a ta posa manzwi ku njolo u ta alaba cwani 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_19.wav	kokonu ni pizi za i swala za kala ku i lumaka ni ku i lahaka 
/scratch/skscla001/speech/data/lozgen/audio/220814-171012_loz_006_elicit_10.wav	mupokola ha to fita a fumana kuli mwanana u sa lobezi a kubuhile maswe fa pata 
/scratch/skscla001/speech/data/lozgen/audio/220924-133420_loz_969_elicit_35.wav	foo ne se li sikulu nineteen forty seven 
/scratch/skscla001/speech/data/lozgen/audio/220814-205913_loz_969_elicit_44.wav	taba ha i bihiwa kwa mapokola mwa libingi mapokola ba bahulu ba li mutu yo na batilwe hohola ka nineteen forty five mi na fumanwi 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_38.wav	ha ku se ku fitile nako ye telele sukulu ya fita kono ya fumana kuli mulyani u felile 
/scratch/skscla001/speech/data/lozgen/audio/220813-203957_loz_969_elicit_10.wav	mi ba zamaya hamoho mwa mutapi u limunwi 
/scratch/skscla001/speech/data/lozgen/audio/220814-171012_loz_006_elicit_40.wav	a s a yema fa lihaulo a bona njolo kuli u sa yemi fande nongolo ni yena kona a bona kuli kanti sitima ha si zamai 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_38.wav	kamuyongole a li ha ni utwire mu bulela 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_20.wav	kamuyongole na sa shendwi fo ku nata mi mane mwa lipina ze nwi za sipelu ne ba mu nguya ka bunde bwa hae 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_16.wav	ziki hape a fumana kuli i ta ba hande ku fumana ni yena njolo a taluse sa ziba 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_29.wav	ha ba kopana katekwe a fa kamuyongole mulamu wa he wa n a libezi kwa tuko a simu ya bo ndate mboma zazi la ba zwa kwa sipelu 
/scratch/skscla001/speech/data/lozgen/audio/220814-153226_loz_006_elicit_0.wav	kale linyunywani ni bo sikampafwa ne ba isweli bulikani 
/scratch/skscla001/speech/data/lozgen/audio/220815-233437_loz_969_elicit_12.wav	nongolo a zwela pili mwa mayadi a masame kono na fumani kuli masame a ki ba bande ku bata teni musebezi 
/scratch/skscla001/speech/data/lozgen/audio/220821-184128_loz_006_elicit_24.wav	muna kanti kini ha u li ya maswe cwalo kono kulu ya li 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_13.wav	muzamaisi a li kanti na na funduka ha ni koni ku bulaiseza batu tala mwa naheni ka baka la sikuba silisinwi 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_26.wav	u itukise na taha 
/scratch/skscla001/speech/data/lozgen/audio/220813-165251_loz_969_elicit_35.wav	ha busa tutwa ya fita ka nako ye ne tomilwe 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_3.wav	a man o ziba kuli ki wa mulena mutondo a buza kwa ndu ya kapaso yo muhulu 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_16.wav	ku wena namutesuko ni li haiba u na ni nana u zibe kuli u fosize ni munyan a hao ni mwan a hao 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_47.wav	a tabela hahulu lico ze mi a hupula fa mongu foo babeleki ba na ni butata bwa ku fumana lico 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_43.wav	tuhela ku bulola malasambwa a hao ao u funduko u yo nga komu ya ke kwa lukulu ko one isize 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_44.wav	likebenga li ziba bupilo bwa zona 
/scratch/skscla001/speech/data/lozgen/audio/220924-113627_loz_969_elicit_49.wav	hape a cince ni libizo kuli wale a kutele kwa libizo la hae la kamuyongole 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_24.wav	ha ni ka to fita loo ha ni na k yaha nuva munzi wa hesu konji ha ni ta longola pilu ya hao mwva sifuba 
/scratch/skscla001/speech/data/lozgen/audio/220813-165110_loz_006_elicit_1.wav	kono nihakulicwalo munu kayumbwa ba ne ba na ni mukekecima ba tusa 
/scratch/skscla001/speech/data/lozgen/audio/220814-205913_loz_969_elicit_13.wav	hape ba lukisa kuli linolo li yo positelwa kwa taunu i sili 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_7.wav	punga yo ili muhulwan aka ni ndate ha sa ni sepa ka baka la ku tokwa likute ku musal a hae namutesuko 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_1.wav	kwa famu ya luckins kapitao wa famu a man o zuha a fumana kuli mota ha i yo mi a komoka kwa na pakelezi kamuyongole ya i zamaisanga mi a kula 
/scratch/skscla001/speech/data/lozgen/audio/220815-192827_loz_006_elicit_4.wav	ka putako a nanula silamu tuna sa na iwezi a nata nongolo mwa likoshi ka mata a lilimo ze twenty one kaufela 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_40.wav	kono ka baka la lifufa nongolo ne ba si ka twaelana 
/scratch/skscla001/speech/data/lozgen/audio/220814-223030_loz_969_elicit_28.wav	lu ta lobala kwanu kuli kamuso lu kwele hande 
/scratch/skscla001/speech/data/lozgen/audio/220924-184927_loz_969_elicit_21.wav	ba taha ku to buha sibatana seo sene ba se ba balile za sona mwa mutende 
/scratch/skscla001/speech/data/lozgen/audio/220815-193400_loz_969_elicit_19.wav	zazi le li tatama a kuliswa ki kezo ya hae 
/scratch/skscla001/speech/data/lozgen/audio/220813-154411_loz_006_elicit_12.wav	muulu na kala ku kenelwa ki sabo ye tuna mane na kala ku zamaya ni milli kwa toho 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_20.wav	mapokola ni bona ba u shemba shemba kuli u sike wa shwa 
/scratch/skscla001/speech/data/lozgen/audio/220924-122127_loz_969_elicit_23.wav	ka nako ye musefo wa ombala hanyinyani mwa litaunu mo ne u cisa kakuli mapokola ne ba se ba hupuzi ku bata bata kwa wankie 
/scratch/skscla001/speech/data/lozgen/audio/220821-215724_loz_006_elicit_45.wav	kamuyongole a atulelwa lifu ka ku bulaya batu ba babeli 
/scratch/skscla001/speech/data/lozgen/audio/220821-193526_loz_006_elicit_34.wav	mota ha i funduka kamuyongole a talima libala la ngula iwa mafelelezo 
/scratch/skscla001/speech/data/lozgen/audio/220924-175953_loz_969_elicit_49.wav	kamuyongole a fita fa ndu ye lekiswa lico mi a li bona mwa lihaulo ka malaiti a mwa hali kakuli ne se li busihu 
