audio	sentence
/scratch/skscla001/speech/data/lozgen/audio/221211-182109_loz_5d8_elicit_25.wav	bashimani ni basizana ba ba buzwa ba itute ku zona 
/scratch/skscla001/speech/data/lozgen/audio/220925-224646_loz_0da_elicit_49.wav	bashemi ba hae luli nongolo ili kwa sefula ne ba se ba mu holezi halalu ba sa boni kalabo 
/scratch/skscla001/speech/data/lozgen/audio/221211-115749_loz_9dd_elicit_11.wav	kono u bapalanga hahulu mwa nzila hanata u fitanga musihali luli 
/scratch/skscla001/speech/data/lozgen/audio/221211-182109_loz_5d8_elicit_24.wav	limura li sebeza ka tata 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_31.wav	ko se ni mi konka inge muhalizo 
/scratch/skscla001/speech/data/lozgen/audio/220925-001458_loz_0da_elicit_29.wav	bo mesinja ba babeli ba mu isa kwa nkambe 
/scratch/skscla001/speech/data/lozgen/audio/220928-033456_loz_0da_elicit_0.wav	luli sizana me i lukela ku mu tabela kakuli na buheha 
/scratch/skscla001/speech/data/lozgen/audio/221210-211146_loz_9dd_elicit_9.wav	ba lu lata kakuli jesu n a ize mu late batu kaufela mi hape mu tuse ni bao i si ba ndu ya mina 
/scratch/skscla001/speech/data/lozgen/audio/221206-180455_loz_9dd_elicit_28.wav	munna yoo ki ha se a kwaula nja mi a i nata habutuku 
/scratch/skscla001/speech/data/lozgen/audio/221211-115749_loz_9dd_elicit_75.wav	bo silubasi ni katengunyanga muoleole ni kambimbi ba ca hape linzie ni minani ze tiseza batu fibele 
/scratch/skscla001/speech/data/lozgen/audio/221209-161751_loz_9dd_elicit_40.wav	ni bana ba u sili ha ba swani ni bana ba hao 
/scratch/skscla001/speech/data/lozgen/audio/221211-115749_loz_9dd_elicit_28.wav	sifateho sa kona ki se sinde 
/scratch/skscla001/speech/data/lozgen/audio/221108-225040_loz_fcd_elicit_30.wav	batili ki wa kwa hae 
/scratch/skscla001/speech/data/lozgen/audio/221206-194517_loz_9dd_elicit_10.wav	linau la li ha ku na se ni lata kwande a ku ba ni mibala bala 
/scratch/skscla001/speech/data/lozgen/audio/221211-182109_loz_5d8_elicit_3.wav	ha ni timbula a ni bona mi a li mu bone simbotwe se 
/scratch/skscla001/speech/data/lozgen/audio/221211-190410_loz_5d8_elicit_11.wav	a fumana piza i shwile mi a bona mutala wa mwan a tau 
/scratch/skscla001/speech/data/lozgen/audio/221211-182109_loz_5d8_elicit_32.wav	lico ze kubukanyizwe matabula li li tusa ka nako ya maliha 
/scratch/skscla001/speech/data/lozgen/audio/221024-171240_loz_334_elicit_41.wav	pulelo ya hae kamita n e li ye 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_43.wav	ha sa felize a kwela ku kutela kwa bukuwa 
/scratch/skscla001/speech/data/lozgen/audio/220925-220607_loz_0da_elicit_2.wav	luli ba habo nongolo a ba koni ku timelelwa njolo mi ba sa mu bona feela ba ta tokwa ku bona ni nongolo 
/scratch/skscla001/speech/data/lozgen/audio/221211-213339_loz_5d8_elicit_25.wav	mo bu sebeleza booko a ku zibwi 
/scratch/skscla001/speech/data/lozgen/audio/220928-035559_loz_0da_elicit_23.wav	ba kala ku bulla manzwi a maswe ha ba katana muoli yena a ba biha ku mulena hape ni hape mi ba bulawa kapa ku lelekiswa mwa muleneni 
/scratch/skscla001/speech/data/lozgen/audio/221024-175856_loz_334_elicit_13.wav	sa na sa zizilikela cwalo kini ka yama alaba a nz a talimezi fa fasi 
/scratch/skscla001/speech/data/lozgen/audio/221211-215128_loz_5d8_elicit_0.wav	a kala ku bapala ni ba banwi bo ni ha n e s e li mushimanituna n a sa pumuli ku lila 
/scratch/skscla001/speech/data/lozgen/audio/220926-004829_loz_0da_elicit_40.wav	mukuwa a mu fa mazazi a mabeli 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_18.wav	a siya songolo a nz a ambola ni mahe 
/scratch/skscla001/speech/data/lozgen/audio/220925-224646_loz_0da_elicit_14.wav	ha i yemisa a fumana kuli me i sina mabuleki mi ni wili ya kwa pili ne i si ka tamiwa hande 
/scratch/skscla001/speech/data/lozgen/audio/220926-012714_loz_0da_elicit_40.wav	oo bati pili u si ka ya kale sandala 
/scratch/skscla001/speech/data/lozgen/audio/221208-170119_loz_9dd_elicit_14.wav	ha nz a hula a ikungela mukwanyana wa ku lila lila tela ni h a n a sa natiwangi 
/scratch/skscla001/speech/data/lozgen/audio/220925-001458_loz_0da_elicit_33.wav	kamuyongole ya na sa ile liko a buhiwa hape 
/scratch/skscla001/speech/data/lozgen/audio/221211-192211_loz_5d8_elicit_8.wav	ha si ezize ewalo sa ya ku ye nwi sa li si utwile ze wi ha li i bulela ka ze ni ka zani 
/scratch/skscla001/speech/data/lozgen/audio/221109-113120_loz_fcd_elicit_15.wav	bo kayama ha ni si ka buza mina 
/scratch/skscla001/speech/data/lozgen/audio/221208-213754_loz_9dd_elicit_39.wav	musonda a lwala sizuma mo ne ku inzi buhobe ni poto ya busunso kwa lizoho le linwi a iwala mukope wa mezi 
/scratch/skscla001/speech/data/lozgen/audio/220928-042847_loz_0da_elicit_0.wav	kwa mafelelezo musali a honeha mi lilumo la sibulai se sinwi la mu taba mwa mukokoto 
/scratch/skscla001/speech/data/lozgen/audio/221206-194517_loz_9dd_elicit_2.wav	mi linau ne li swabile hahulu ku bona kuli ne si le linde sina tutwa ni pizi ya mwa naheni 
/scratch/skscla001/speech/data/lozgen/audio/220928-033456_loz_0da_elicit_23.wav	ku zwa busihu boo kamuyongole a ekeza cinceho ye nwi mwa bupilo bwa hae 
